Identifier,Name,Description,Organisational Structure,Primary Activity,Activities,Street Address,Locality,Region,Postcode,Country ID,Territory ID,Website,Phone,Email,Twitter,Facebook,Companies House Number,Qualifiers,Membership Type,Latitude,Longitude,Geo Container,Geo Container Latitude,Geo Container Longitude,Sector,SIC Section,SIC Code,Ownership Classification,Legal Form,Legal Form Subcategory 1,Legal Form Subcategory 1,UK Nation,Type of Organisation,Registered Status,Registered Number,Registrar,Incorporation Date,Dissolved Date,Organisation Name,WC Legal Form
R007754,Labour Briefing Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,7 Malam Gardens,London,Tower Hamlets,E14 0TR,GB,,https://labourbriefingcooperative.net/,,,,,08211427,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Digital, Media and Communication",Information and Communication,58190,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,08211427,Companies House,12/9/2012,"",Labour Briefing Co-operative Ltd,Limited by Guarantee
R004309,OrganicLea,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS120,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA10,,"Hornbeam Environment Centre
458 Hoe Street",London,Waltham Forest,E17 9AH,GB,,http://www.organiclea.org.uk,,,,,05135926,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Agriculture,"Agriculture, Forestry and Fishing",01130,Workers,Community Interest Company,Limited by Guarantee,"",England,Co-operative,Live,05135926,Companies House,24/5/2004,"",OrganicLea C.I.C.,Limited by Guarantee
R004312,Preston Green Centre,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,"Flat 19 Empire House
Church Street",Preston,Lancashire,PR1 3BA,GB,,http://www.prestongreencentre.blogspot.co.uk,,,,,06595012,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47110,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,06595012,Companies House,16/5/2008,"",Preston Green Centre Limited,Limited by Guarantee
R004036,Eco Enterprises,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA30,,"Somerford Buildings
Norfolk Street",Sunderland,Sunderland,SR1 1EE,GB,,https://www.facebook.com/ecoenterprises2019,,,,,04351392,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Agriculture,"Agriculture, Forestry and Fishing",02400,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,04351392,Companies House,11/1/2002,"",Eco Enterprises Ltd,Limited by Guarantee
R004038,Fox Lane Market Garden Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,"Foxlane at Carnie Carnie
Skene, Westhill",Aberdeen,Aberdeenshire,AB32 6JZ,GB,,http://www.fox-lane.net,,,,,SC124536,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47760,Workers,Company,Limited by Guarantee,"",Scotland,Co-operative,Live,SC124536,Companies House,23/4/1990,"",Fox Lane Market Garden Co-operative Limited,Limited by Guarantee
R004054,Honeysuckle Whole Foods Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,53 Church Street,Oswestry,Shropshire,SY11 2SZ,GB,,http://www.facebook.com/honeysucklewholefoods,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47110,Workers,Society,Registered Society,BFC,England,Co-operative,Live,22251R,FCA,21/7/1978,"",Honeysuckle Whole Foods Co-operative Limited,Co-operative Society
R010002,Gensing Workers' Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,29 Gensing Road,St Leaonards On Sea,East Sussex,TN38 0HE,GB,,,,,,,09221696,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85590,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,09221696,Companies House,17/9/2014,"",Gensing Workers' Co-operative Ltd,Limited by Guarantee
R010008,Co-op Culture,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,1 Northfield,Heptonstall,Calderdale,HX7 7NW,GB,,http://www.culture.coop,,,,,09649522,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",70220,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,09649522,Companies House,20/6/2015,"",Co-op Culture,Limited by Guarantee
R006228,Ignite Co-operative Media,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"The Technocentre
Puma Way",Coventry,Coventry,CV1 2TT,GB,,http://ignitecreative.co.uk,,,,,07448484,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Digital, Media and Communication",Information and Communication,59112,Workers,Company,Limited by Shares,"",England,Co-operative,Live,07448484,Companies House,23/11/2010,"",Ignite Co-operative Media Ltd,Limited by Shares
R004061,Trinity Wholefoods,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,3 Trinity Street,Hastings,East Sussex,TN34 2HG,GB,,http://www.trinitywholefoods.co.uk,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47110,Workers,Society,Registered Society,BFC,England,Co-operative,Live,24685R,FCA,2/11/1984,"",Hastings Wholefood Co-operative Limited,Co-operative Society
R004062,Swindon Pulse Wholefood Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,27 Curtis Street,Swindon,Swindon,SN1 5JU,GB,,http://www.swindon-pulse.co.uk,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47110,Workers,Society,Registered Society,BFC,England,Co-operative,Live,22015R,FCA,8/11/1977,"",Swindon Pulse Wholefood Co-operative Limited,Co-operative Society
R004064,Louth Wholefood Coop,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,7-9 Eastgate,Louth,Lincolnshire,LN11 9NB,GB,,http://www.louthwholefoodcoop.co.uk,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47110,Workers,Society,Registered Society,BFC,England,Co-operative,Live,23552R,FCA,10/2/1982,"",Louth Wholefoods Co-operative Limited,Co-operative Society
R006738,Leading Lives,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,12 Great Whip Street,Ipswich,Suffolk,IP2 8EZ,GB,,http://leadinglives.org.uk,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,88100,Workers,Society,Registered Society,BFC,England,Co-operative,Live,31457R,FCA,10/11/2011,"",Leading Lives Limited,Co-operative Society
R004368,Atomised Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"2 Millhouse
Millgate",Cupar,Fife,KY15 5EH,GB,,http://www.atomised.coop,,,,,SC347143,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Digital, Media and Communication","",62020,Workers,Company,Limited by Shares,"",Scotland,Co-operative,Live,SC347143,Companies House,15/8/2008,"",Atomised Co-operative Ltd,Limited by Shares
R007779,Cafe H2O,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA120,,"The Wyche Innovation Centre
Walwyn Road
Upper Colwall",Malvern,"Herefordshire, County of",WR13 6PL,GB,,http://www.jamboree-preservers.co.uk/,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Food service, Accommodation and Pubs","",56102,Workers,Society,Registered Society,BFC,England,Co-operative,Live,31881R,FCA,5/11/2012,"",Jamboree Preservers Limited,Co-operative Society
R003594,Lupine Adventure Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"6A Rodley Lane
Rodley",Leeds,Leeds,LS13 1HU,GB,,http://www.lupineadventure.co.uk,,,,,06378809,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Sports and Recreation,"Arts, Entertainment and Recreation",93290,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,06378809,Companies House,24/9/2007,"",Lupine Adventure Co-operative Limited,Limited by Guarantee
R003595,Fair 4 All Trading,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,2 Time Square,Warrington,Warrington,WA1 2NT,GB,,http://www.facebook.com/fair4all,,,,,12528799,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47890,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,12528799,Companies House,20/3/2020,"",Fair 4 All Trading Ltd,Limited by Guarantee
R003596,software.coop,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS115,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"software.coop
384 Lynn Road",Setchey,Norfolk,PE33 0PD,GB,,http://www.software.coop/,,,,,OC303457,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Digital, Media and Communication",Information and Communication,62000,Workers,LLP,"","",England,Co-operative,Live,OC303457,Companies House,27/11/2002,"",Turo Technology LLP,""
R003806,Primate Productions,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA120,,11 York Road,Whitley Bay,North Tyneside,NE26 1AB,GB,,http://www.primateproductions.org,,,,,06430335,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Other,"",96090,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,06430335,Companies House,19/11/2007,"",Primate Productions Ltd,Limited by Guarantee
R003792,Jack Drum Arts,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS120,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"The St Cuthberts Centre
Church Hill",Crook,County Durham,DL15 9DN,GB,,http://www.jackdrum.co.uk,,,,,03428595,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Sports and Recreation,"Arts, Entertainment and Recreation",93290,Workers,Community Interest Company,Limited by Guarantee,"",England,Co-operative,Live,03428595,Companies House,3/9/1997,"",Jack Drum Arts C.I.C.,Limited by Guarantee
R003199,Mutual Business Advice,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"Braeside
Foxholes Road",Horwich,Bolton,BL6 6AJ,GB,,http://www.mbalimited.co.uk/,,,,,05528601,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",70229,Workers,Company,Limited by Shares,"",England,Co-operative,Live,05528601,Companies House,5/8/2005,"",Mutual Business Advice ltd,Limited by Shares
R004083,Trafford Media,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"Suite 2 South Court
Sharston Road",Manchester,Manchester,M22 4SN,GB,,http://www.traffordmc.org.uk,,,,,05135089,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Digital, Media and Communication","Professional, Scientific and Technical",74100,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,05135089,Companies House,21/5/2004,"",Trafford Media & Communications Ltd,Limited by Guarantee
R004093,Cafe Kino,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA120,,108 Stokes Croft,Bristol,"Bristol, City of",BS1 3RU,GB,,http://www.cafekino.coop,,,,,05159776,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Food service, Accommodation and Pubs","",56102,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,05159776,Companies House,22/6/2004,"",Cafe Mono Ltd,Limited by Guarantee
R010064,STRIKE! Magazine,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,27 Old Gloucester Street,London,Camden,WC1N 3AX,GB,,http://strikemag.org/,,,,,09359954,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Digital, Media and Communication",Information and Communication,58140,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,09359954,Companies House,18/12/2014,"",STRIKE! Magazine Ltd,Limited by Guarantee
R004710,Lembas,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,"Unit 5, The Old Tannery
Whiting Street",Sheffield,Sheffield,S8 9QR,GB,,http://www.lembas.co.uk,,,,,01739870,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,46390,Workers,Company,Limited by Shares,"",England,Co-operative,Live,01739870,Companies House,15/7/1983,"",Lembas Limited,Limited by Shares
R004952,Sound Bites,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,11 Morledge,Derby,Derby,DE1 2AW,GB,,http://www.soundbitesderby.org.uk,,,,,05228974,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47290,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,05228974,Companies House,13/9/2004,"",Sound Bites Limited,Limited by Guarantee
R003426,Keith Play Centre,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,Banff Road,Keith,Moray,AB55 5GT,GB,,,,,,,SC323212,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85100,Workers,Company,Limited by Shares,"",Scotland,Co-operative,Live,SC323212,Companies House,8/5/2007,"",Keith Play Centre Ltd,Limited by Shares
R003441,Centrifuge Consulting,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"Halidon House
17d Windmill Way West
Ramparts Business Park",Berwick-Upon-Tweed,Northumberland,TD15 1TB,GB,,http://www.centrifuge.coop,,,,,06309686,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",70229,Workers,Company,Limited by Shares,"",England,Co-operative,Live,06309686,Companies House,11/7/2007,"",Centrifuge Consulting Ltd,Limited by Shares
R003855,"Care, Education and Religion Support Workers",,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS120,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"1 Celyn Chambers 
109 Heol-Y-Parc
Efail Isaf
Taf Ely",Glamorganshire,"Rhondda, Cynon, Taf",CF37 9EG,GB,,http://www.cearsw.com,,,,,06328406,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Digital, Media and Communication","",62090,Workers,Community Interest Company,Limited by Guarantee,"",Wales,Co-operative,Live,06328406,Companies House,30/7/2007,"","Care, Education and Religion Support Workers C.I.C",Limited by Guarantee
R032588,Preston Cooperative Education Centre,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,103 Church Street,Preston,Lancashire,PR1 3BS,GB,,https://prestoncoopeducationcentre.org,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85590,Workers,Society,Co-operative Society,"",England,Co-operative,Live,4801,FCA,24/5/2021,"",Preston Cooperative Education Centre Limited,Co-operative Society
R004728,Sail Boat Project,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS120,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,130 Hollingbury Park Avenue,Brighton,Brighton and Hove,BN1 7JP,GB,,http://www.sailboatproject.org,,,,,06821730,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85510,Workers,Community Interest Company,Limited by Guarantee,"",England,Co-operative,Live,06821730,Companies House,17/2/2009,"",Sail Boat Project Community Interest Company,Limited by Guarantee
R003480,Arthur's Organics (Arthur Street Trading Company),,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA90,,"2 Woodyard Cottages
Jubilee Lane",Hull,East Riding of Yorkshire,HU11 5BN,GB,,http://www.arthursorganics.com,,,,,03843444,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Manufacturing,Manufacturing,10390,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,03843444,Companies House,17/9/1999,"",Arthur Street Trading Company Limited,Limited by Guarantee
R009279,Public Affairs Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,2 Marshall Place,Perth,Perth and Kinross,PH2 8AH,GB,,http://www.publicaffairs.coop/,,,,,SC461460,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85520,Workers,Company,Limited by Guarantee,"",Scotland,Co-operative,Live,SC461460,Companies House,14/10/2013,"",Public Affairs Co-operative Ltd,Limited by Guarantee
R005491,Primrose Cottage Garden Services Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"1 Linwood Cottages
Kent Road
St Denys",Southampton,Southampton,SO17 2UR,GB,,http://www.facebook.com/primrosecottagegarden,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",71112,Workers,Society,Registered Society,BFC,England,Co-operative,Live,30959R,FCA,5/4/2010,"",Primrose Cottage Garden Services Co-operative Limited,Co-operative Society
R005495,deep: black,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"Chestnuts Community Centre
280 St. Ann's Road",London,Haringey,N15 5BN,GB,,http://www.deepblack.org.uk,,,,,07241106,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85590,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,07241106,Companies House,30/4/2010,"",Deep:black London,Limited by Guarantee
R005752,The Corporate Watch Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"C/O Freedom Press Angel Alley
84B Whitechapel High Street",London,Tower Hamlets,E1 7QX,GB,,http://www.corporatewatch.org,,,,,03865674,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",72200,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,03865674,Companies House,26/10/1999,"",The Corporate Watch Co-operative Ltd,Limited by Guarantee
R009291,Barod,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS120,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"33 Bryn Road
Waunarlwydd",Swansea,Swansea,SA5 4RA,GB,,http://www.barod.org,,,,,08382883,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"",74909,Workers,Community Interest Company,Limited by Guarantee,"",Wales,Co-operative,Live,08382883,Companies House,31/1/2013,"",Barod Community Interest Company,Limited by Guarantee
R009293,FiMiViTa,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA90,,"Flat 46, Thistle House
Bromford Drive",Birmingham,Birmingham,B36 8RB,GB,,,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Manufacturing,Manufacturing,10890,Workers,Society,Registered Society,BFC,England,Co-operative,Live,32249R,FCA,22/11/2013,"",FiMiiViTa Agri-Mining Limited,Co-operative Society
R004776,Tinne Beag Workers Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA30,,"Doon of May
Mochrum Loch",Newton Stewart,Dumfries and Galloway,DG8 9RR,GB,,,,,,,SC200995,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Agriculture,"Agriculture, Forestry and Fishing",02100,Workers,Company,Limited by Guarantee,"",Scotland,Co-operative,Live,SC200995,Companies House,22/10/1999,"",Tinne Beag Workers Co-operative Limited,Limited by Guarantee
R004782,The Handmade Bakery,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA120,,"6 Upper Mills
Canal Side Slaithwaite",Huddersfield,Kirklees,HD7 5HA,GB,,http://www.thehandmadebakery.coop,,,,,06850555,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Food service, Accommodation and Pubs",Accommodation and Food Services,56000,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,06850555,Companies House,18/3/2009,"",The Handmade Bakery (Marsden) Ltd,Limited by Guarantee
R002039,Co-operative Assistance Network,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,1-3 Gloucester Road,Bristol,"Bristol, City of",BS7 8AA,GB,,http://www.can.coop,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",70220,Workers,Society,Registered Society,BFC,England,Co-operative,Live,30714R,FCA,19/12/1989,"",Co-operative Assistance Network Limited,Co-operative Society
R005513,York Disabled Workers' Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"Unit 42, The Raylor Centre 
James Street",York,York,YO10 3DW,GB,,http://www.yorkdwc.co.uk,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Membership associations, social clubs and trade unions",Other Service Activities,94100,Workers,Society,Registered Society,BFC,England,Co-operative,Live,30975R,FCA,24/5/2010,"",York Disabled Workers' Co-operative Limited,Co-operative Society
R006760,Malvern Book Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,"Hillside
Blackheath Way",Malvern,Worcestershire,WR14 4DR,GB,,http://www.malvernbook.coop,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47610,Workers,Society,Registered Society,BFC,England,Co-operative,Live,31490R,FCA,9/12/2011,"",Malvern Book Co-operative Limited,Co-operative Society
R002052,Argus Ecological Services,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"Unit 14, The Greenhouse
Greencroft Industrial Park",Annfield plain,County Durham,DH9 7XN,GB,,http://www.argusecology.co.uk/,,,,,02594642,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"",74901,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,02594642,Companies House,22/3/1991,"",Argus Ecological Services Limited,Limited by Guarantee
R006764,8th Day Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,107-111 Oxford Road,Manchester,Manchester,M1 7DU,GB,,http://www.8thday.coop/,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47200,Workers,Society,Registered Society,BFC,England,Co-operative,Live,21704R,FCA,1/1/1981,"",On The Eighth Day Co-operative Limited,Co-operative Society
R002058,Coventry Artspace,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"Floor 4, Eaton House
Eaton Road",Coventry,Coventry,CV1 2FJ,GB,,http://www.coventry-artspace.co.uk,,,,,02638799,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Arts and Culture,"",90030,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,02638799,Companies House,16/8/1991,"",Coventry Artspace Limited,Limited by Guarantee
R006769,Small Axe Communications,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"The Business Development Centre
7-15 Greatorex Street",London,Tower Hamlets,E1 5NF,GB,,http://www.wearethesmallaxe.com,,,,,07877552,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Digital, Media and Communication","",62020,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,07877552,Companies House,9/12/2011,"",Small Axe Communications Ltd,Limited by Guarantee
R008015,Leeds Bread Co-op,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA90,,Unit 11 Penraevon Trading Estate,Leeds,Leeds,LS7 2AW,GB,,http://www.leedsbread.coop,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Manufacturing,Manufacturing,10710,Workers,Society,Registered Society,BFC,England,Co-operative,Live,31832R,FCA,16/10/2012,"",Leeds Community Bakery Limited,Co-operative Society
R008556,Enabled Works,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA120,,19 Verity View,Leeds,Leeds,LS9 0EE,GB,,http://www.enabledworks.co.uk,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Other,Administrative and Support Services,82920,Workers,Society,Registered Society,BFC,England,Co-operative,Live,31794R,FCA,10/10/2012,"",Enabled Works Limited,Co-operative Society
