Table,Name,orgnasationtype,Region,Country,City,Latitude,Longitude,Size,Type,Sector,Address,Description,Additional Details,Website,Email,Random
Support to Young Co-operators,AGACA,Cooperative federation or union,Europe,Spain,Santiago de Compostela,42.8782132,-8.5448445,,,Cooperative federation or union,"Unión de Cooperativas AGACA Rúa Tomiño 22, Entreplanta 15703 Santiago de Compostela España","AGACA se centra en la representación y defensa del cooperativismo agroalimentario. Pero, además, prestamos servicios de apoyo a las cooperativas relacionados con diversos ámbitos y realizamos actividades de promoción y formación. Servicios: asesoría económica y jurídica, calidad alimentaria, comunicación, medioambiente, seguros,.. Promoción: incorporación de jóvenes a la agricultura y a las cooperativas, incorporación de mujeres a los órganos sociales de las cooperativas, atención y cuidado a los mayores del rural, atención a la alimentación de la infancia en las ciudades,.. Formación: agricultores, socios de cooperativas, rectores y dirigentes.","AGACA, conjuntamente con otras entidades, estamos a desarrollar un programa Erasmus+ para jóvenes y mujeres. El proyecto se llama Erasmus + LeadFarm. Los socios del proyecto son Icos de Irlanda, Services Coop. de France de Francia, Changemaker de Suecia y LLKC de Letonia. El Proyecto LeadFarm, cofinanciado por el programa Erasmus+ de la Unión Europea, tiene por objetivo conseguir un equilibrio generacional y de género en las cooperativas agrarias a través del fortalecimiento de las capacidades de los jóvenes, para garantizar el cambio generacional en las explotaciones familiares y en las cooperativas. Específicamente, el Proxecto LeadFarm pretende: ofrecer formación innovadora a los jóvenes para mejorar sus conocimientos cooperativos y su área operativa; promover la cultura y valores cooperativos para proporcionar una mejor comprensión de la cooperativa a la juventud, aumentando su nivel de participación y compromiso; fortalecer las habilidades gerenciales para su profesionalización y de su familia; y, finalmente, promover el equilibrio de género en los consejos rectores de las cooperativas y otros órganos de la entidad. En definitiva, LeadFarm pretende lograr contenidos innovadores sobre Gestión de Explotaciones y sobre Cultura y Valores Cooperativos. Para eso, dispondremos en el proyecto de una plataforma TIC para apoyar el aprendizaje, con gestión interactiva de contenidos, varios juegos cooperativos para trabajar los valores de las mismas, formación de formadores, formación piloto para beneficiarios finales, tres seminarios de presentación de resultados intelectuales, y dos Movilidades Combinadas para jóvenes agricultores de Irlanda, Suecia, España, Francia y Letonia.",www.agaca.coop,agaca@agaca.coop,
Support to Young Co-operators,FEVECTA,Cooperative federation or union,Europe,Spain,Valencia,39.4699075,-0.3762881,,,Cooperative federation or union,"FEVECTA Arzobispo Mayoral 11 bajo 46002 Valencia, Spain","FEVECTA es la Federaciñón de cooeprativas de trabajo asociado. En 2017 FEVECTA ha cumplido su 30 aniversario. El nacimiento de la Federación viene a cubrir una necesidad de representación global del sector surgida en los años 80 del Siglo XX entre las cooperativas industriales y de producción. El cooperativismo de aquellos años está poco organizado y se suscita la necesidad de proveerse de una entidad sólida que le asegure la defensa de sus intereses. Así nació FEVECTA. En estas tres décadas, la Federación se ha convertido en una entidad consolidada y de prestigio dentro del panorama socioeconómico valenciano. Como parte de su misión de representación y defensa de los intereses del sector, ha estado siempre al lado de las cooperativas federadas: Próxima a sus diferentes realidades y a la diversidad sectorial y territorial; conociendo sus problemáticas para proponer soluciones de mejora, bien por la vía legislativa bien mediante la interlocución política o técnica; canalizando sus peticiones y aspiraciones hacia las diferentes administraciones competentes; ayudándoles para superar sus dificultades, y siendo partícipes de sus éxitos.","FEVECTA basa sus actuaciones en torno a tres grandes pilares: Defensa de los intereses de las cooperativas FEVECTA es la entidad representativa de las cooperativas de Trabajo Asociado de la Comunidad Valenciana, en los ámbitos económico, político y social, ante las entidades públicas y privadas, y en el seno del movimiento cooperativo en general, adoptando para tal fin todas las acciones que considere oportunas. Promoción y fomento del cooperativismo La Federación orienta y asesora a los grupos de personas que pretenden constituir una cooperativa. Si estás interesado en crear una cooperativa de trabajo asociado, puedes dirigirte al servicio de atención a emprendedores en cualquiera de nuestras sedes de Valencia, Castellón y Alicante donde te atenderemos de manera totalmente gratuita + INFO. Servicios a las cooperativas asociadas* FEVECTA pone a disposición de las cooperativas y de aquellos profesionales que les asesoran un equipo técnico especializado que ofrece servicios de: Asesoramiento jurídico-económico Servicios cooperativos (información de subvenciones, trámites registrales, adaptación y modificación de estatutos sociales, asesoramiento y diseño del RRI, etc.). Formación profesional y societaria. Información empresarial de interés para las cooperativas. Gestión de proyectos de Desarrollo empresarial. Apoyo a la creación de cooperativas. Edición de publicaciones prácticas para la gestión cooperativa. Otros servicios.",www.fevecta.coop,fevecta@fevecta.coop,
Support to Young Co-operators,Confederación Uruguaya de Entidades Cooperativas (CUDECOOP),Cooperative federation or union,Americas,Uruguay,Montevideo,-34.9011127,-56.1645314,,,Cooperative federation or union,"Avenida 18 de julio 948 apto 602, Montevideo, Uruguay","CUDECOOP representa al conjunto del movimiento cooperativo uruguayo (más de 3.500 cooperativas de base). Su actividad central es gremial pero también desarrolla programas de formación y desarrollo, entre las que se destaca por su impacto a nivel juvenil, la Incubadora de Cooperativas (INCUBACOOP.)","La Confederación realiza actividades organizadas en varias dimensiones: (a) representación gremial a nivel Nacional e Internacional; (b) cogestión de políticas públicas (cuenta con delegados en la dirección de 3 organismos y otros ámbitos de diálogo e incidencia); (c) gobernanza del Movimiento; (d) Desarrollo Cooperativo (incluye educación, investigación y promoción de cooperativas a través de múltiples instrumentos); (e) Visibilidad / Comunicación (difunde el quehacer cooperativo y el posicionamiento del Movimiento).",www.cudecoop.coop,cudecoop@cudecoop.coop,
Support to Young Co-operators,Cooperativas Agrarias Federadas,Cooperative federation or union,Americas,Uruguay,Montevideo,-34.9011127,-56.1645314,,,Cooperative federation or union,"11000 Montevideo, Uruguay","CAF representa una red integrada por mas de 20 cooperativas agrarias y sociedades de fomento rural del Uruguay con más de 13000 asociados, distribuidos en todo el territorio nacional.","Agrarian cooperatives as formal legal entities arise in Uruguay in 1941, as of the approval of Law 10,008. However, cooperativism in the agricultural sector has a much earlier history, dating back to the first decades of the twentieth century, with the emergence of the first Rural Development Societies and Agricultural Unions, solidarity organizations operating very similar to those current agrarian cooperatives.",http://www.caf.org.uy/site/,secretaria@caf.org.uy,
Support to Young Co-operators,Cooperative Agraria Ltda Mercedes (CALMER),Cooperative federation or union,Americas,Uruguay,Mazzilli,-34.90556,-56.185249,,,Cooperative federation or union,"AV. Lavalleja Nº 649 75000 - Mercedes - Mazzilli, Uruguay",• Somos una Cooperativa de productores que piensa en cómo potenciar su negocio. • Estamos en los distintos eslabones de la cadena desde la producción y comercialización. • Conocemos la actividad y tenemos un equipo con fuerte compromiso para apoyarlo en el manejo de los riesgos.,"• Financiación de cultivos para granos, semillas y pasturas. • Asesoramiento técnico en cultivos. • Venta de insumos agropecuarios. • Servicio de logística para mover su cosecha. • Comercialización de granos. • Mercado de granos: Informe semanal, asesoramiento profesional personalizado y coberturas. • Comercialización de semilla forrajera • Asesoramiento post- cosecha. • Planta de acopio con planes especiales. • Laboratorio: Servicio calificado en análisis de semillas y granos. • Recibo, monitoreo y procesamiento de su semilla, en especies forrajera, cultivos de invierno y verano. • Producción de raciones CALMER (Destete precoz, Recría, Engorde y Lechera). • Molienda, mezclas y aditivos según sus necesidades. • Asesoramiento profesional en temas de nutrición animal. • Reservas Forrajeras: Servicio de enfardado y silo pack. • Comercialización de lana (Central Lanera Uruguaya). • Seguros: Cultivos - vivienda – automotriz - de vida.",www.calmer.com.uy,calmer@calmer.com.uy - pmazzilli@calmer.com.uy,
Support to Young Co-operators,Cooperatives Europe,Cooperative federation or union,Europe,Belgique,Bruxelles,50.8503396,4.3517103,,,Cooperative federation or union,"Rue du Trône 4 1000 Bruxelles, Belgique","Cooperatives Europe est l'organisation représentative des entreprises coopératives en Europe. Nous soutenons l'animation et le développement du Young European Cooperators' Network (YECN), impliquant 150 individus de 17 pays européens ainsi que 4 réseaux nationaux. À travers le YECN, nous souhaitons créer les conditions pour : - renforcer la voix des jeunes dans les affaires publiques, à travers le mouvement coopératif ; - stimuler l'innovation coopérative, en créant les espaces d'échanges entre représentants de fédérations coopératives et acteurs de l'innovation ; - favoriser l'émergence de projets entrepreneuriaux basés sur le modèle coopératif.",,https://coopseurope.coop,l.cousin@coopseurope.coop,
Support to Young Co-operators,COOPSCO / Fédération québécoise des coopératives en milieu scolaire,Cooperative federation or union,Americas,Canada,Montréal,45.5016889,-73.567256,,,Cooperative federation or union,"7333, place des Roseraies, bureau 501 Anjou QC H1M 2X6 Canada","Fondée le 12 novembre 1983, la Fédération québécoise des coopératives en milieu scolaire (FQCMS) est l’organisme provincial qui représente les coopératives en milieu scolaire membres COOPSCO, les soutient dans la réalisation de leur plan d’affaires et les appuie dans leur offre de services auprès de leurs membres propriétaires. NOTRE MISSION ASSURER LA PÉRENNITÉ ET LE DÉVELOPPEMENT DE NOS MEMBRES. La Fédération : • exerce un leadership mobilisateur pour assurer leur développement associatif et économique; • les représente et défend leurs intérêts communs; • fait la promotion des valeurs coopératives et du développement durable.","NOS MEMBRES Sous la bannière COOPSCO, la FQCMS regroupe soixante (60) coopératives en milieu scolaire présentes dans plus de quatre-vingt-dix (90) établissements scolaires totalisant 98 points de service librairies et 98 points de services alimentaires dans des écoles secondaires, des collèges et des universités francophones du Québec, ainsi que deux points de vente en Ontario.",www.fqcms.com | www.coopsco.com,information@coopsco.com,
Support to Young Co-operators,Fédération des unions des sociétés coopératives des Producteurs de la filière Coton de Côte d'Ivoire (FPC-CI),Cooperative federation or union,Africa,Côte d'Ivoire,Abidjan,5.3599517,-4.0082563,,,Cooperative federation or union,17 BP 988 Abidjan 17 Côte d'Ivoire,"La Fédération des unions des sociétés coopératives des Producteurs de la filière Coton de Cote d’Ivoire en abrégé FPC-CI est l’organisation faîtière qui représente l’ensemble des producteurs de coton de Côte d’Ivoire. A ce titre, elle est l’interlocuteur des producteurs auprès des pouvoirs public et privé et parle donc en leur nom. Elle a été créée en Décembre 2013 en remplacement de l’ex Association des Faitières de la Filière Coton en Côte d’Ivoire (AFFICOTCI), pour se conformer à l’acte uniforme OHADA relative au Sociétés Coopératives. La FPC-CI est membre de l’organisation interprofessionnelle agricole de la filière coton (INTERCOTON) aux cotés de l’Association Professionnelle des sociétés cotonnières de Côte d’Ivoire et les autres acteurs. Elle est également membre de l’Association des Producteurs de Coton d’Afrique (APROCA) et membre de l’Alliance Coopérative Internationale (ACI). Elle a pour mission principale l’amélioration de la situation socio-économique de ses membres.",La FPC-CI compte six (6) unions membres qui regroupe plus de 300 sociétés coopératives. Elle compte près de 110 000 producteurs membres.,https://www.fpcci-coop.org,fpccicoopca@gmail.com,
Support to Young Co-operators,Centre d'Education Integree (CEI),Educational Centre,Americas,Haiti,Jacmel,18.2430063,-72.5263984,,,Educational Centre,"Jacmel, Lamontagne Bellevue HT 9110 Haiti",Nous sommes un Centre d Education Integree qui valorise les ressources locales et qui encourage l'engagement communautaire et le leadership responsables des jeunes.,"La CEI dirige une ecole qui a plus de 175 eleves, dont Chaque class a un comite. cette structure organisationnelle est responsable des projets de classe,et des projets de l'ecole ainsi que des projets para sclolaires. les jeunes deviendront acteur de leur propre avenir.",https://web.facebook.com/centrededucation.cei,centrededucationintegree@gmail.com,
Support to Young Co-operators,Fundación Mapocho,Foundation,Americas,Chile,Santiago,-33.4488897,-70.6692655,,,Foundation,"Av. Bustamante 26, Providencia, Santiago 7500776, CL","Fundación Mapocho is a NGO that works on impact agents empowerment through communication skills and discourse framing. It started organizing independent TED events (under the TEDx license) in vulnerable areas of Santiago, an now it has continued to work with different social agents to mobilize and visibilize their ideas, working specifically with cooperatives and young cooperators in the country.",,http://fundacionmapocho.cl,contacto@fundacionmapocho.cl,
Support to Young Co-operators,CCUA - National Young Leaders Committee,Network for youth,Americas,Canada,Toronto,43.653226,-79.3831843,,,Network for youth,"151 Yonge St #1000, Toronto, ON M5C 2W7 Canada","The Canadian Credit Union Association (CCUA) is the national credit union trade association, representing Canada’s credit unions, caisses populaires (outside of Quebec), and regional credit union Central organizations. CCUA is distinct in its commitment to co-operative values, and is the first, national credit union governed organization in Canada. The National Young Leaders Committee (NYLC) is a team of up-and-coming credit union professionals from across the country, working to strengthen the Canadian credit union system by bridging generations of leadership. We're a connection point between today's young leaders, experienced leaders and the leadership roles that will shape Canada's credit union system of tomorrow.",,https://www.ccua.com/NYLC,nylc@ccua.com,
Support to Young Co-operators,Cinéma du Désert,Network for youth,Europe,Italy,Modena,44.647128,10.9252269,,,Network for youth,n/a,"Empowering people through storytelling. Cinema du Desert is a Solar Powered Mobile Cinema that has, since 2009, traveled the world overland bringing free cinema, play and joy to some of the most remote areas on the planet. Counting 5 tours in North and West Africa and a 9-month journey through Central Asia. Our activities are self-funded through fundraising while, simultaneously, working as social volunteers for Italian NGO Bambini Nel Deserto.","We believe that free access to culture is the foundation for a better tomorrow, so we keep on spreading seeds and making contacts around the globe because good health also passes through culture and education. We are strong believers in eco-responsibility, self-sustainability and the idea that Education = Dignity.  We use the power of images to create a bridge between cultures - so to deepen the dialogue about the dangers of globalization and the challenges ahead - with the hope of developing sustainable social projects on the field whilst traveling and being creative at the same time!",www.cinemadudesert.org,info@cinemadudesert.org,
Support to Young Co-operators,Social Investment Programme,Network for youth,Africa,Nigeria,Abuja,9.0764785,7.398574,,,Network for youth,n/a,Social investment programme,Youth empowerment programme.,npower.gov.ng,support@npower.gov,
Support to Young Co-operators,Youth Association for Development,Network for youth,Asia-Pacific,Pakistan,Quetta,30.1798398,66.9749731,,,Network for youth,"E-26- Muslim Town, Officers Colony, Link Shabo Road Tajjak Abad Quetta, Baluchistan, Pakistan","The Youth Association for Development (YAD) is a youth lead, peace building civil society initiative based in Baluchistan and whose roots lies with a core of volunteers in different districts of Pakistan. YAD is human rights based approach with a multi sector development organization working on participatory development approach to bring long term change & sustainable development in the society. The idea of a civil society organization evolved in 2002, when a group of like minded people working in the social, political, human rights and development sector in Baluchistan and having enough international exposure and experience, got together and initiated the dialogue among themselves on issues of humanism, peace, democracy, human rights, right to information, transparency, accountability, environment, water, sanitation, hygiene, health, education & other social issues in the province and country; The group concluded the need for an organization which can address the above mentioned issues through a holistic approach; promote the value of peace and basic human rights; address democratic and governance issues; conduct research and analysis; initiate dialogues among different segments of society; take steps toward a peaceful, tolerant, and democratic society, conservation of environment & natural resources management, sanitation improvement & hygiene education, working for IWRM and provide an enabling environment to civil society of Baluchistan. Legal status  The Youth Association for Development (YAD) is registered under the societies Act 1860 with the Directorate societies, industries & production Department Baluchistan under registration No. 1021, Dated, 10-06-2005","YAD Vision YAD envisions ""a Peaceful, Equitable, tolerant, just and Democratic World & to bring socio-economic development in the rural and urban communities.""  Mission To promote and protect peace, social & interfaith harmony, democracy, human rights and social development in Pakistan through, mobilization, awareness, research, dialogues, advocacy and trainings. Objectives: • To promote and protect basic human rights particularly of women and minorities; • To contribute to the creation of a tolerant society through the promotion of the value of peace and human rights; • To promote interfaith harmony & social harmony. • To promote democracy & good governance in the society • To mobilize the stakeholders for social development. • To encourage and support democratic norms, values, and institutions in the society; • To incorporate gender sensitization in all program activities and to make gender a cross cutting theme. • To protect environment, water conservation & natural resources management. • To promote health, hygiene & sanitation improvement • To increase literacy trough quality education , research & public private partnership development.",http://www.yad-pk.org,yadlri@yahoo.com,
Support to Young Co-operators,Woodcraft Folk,Network for youth,Europe,United Kingdom,London,51.5073509,-0.1277583,,,Network for youth,"Units 9 & 10, 83 Crampton Street, London, SE17 3BQ UK",Woodcraft Folk is a youth charity which runs over 300 local youth groups and 6 residential centres for children and young people.,"Education Centres are: Biblins, HR9 6DX Cudham, TN16 2HT Lockerbrook, S330BJ Darsham, IP17 3PL Heightgate, Todmorden Park Farm, GU28 9EU",www.woodcraft.org.uk,inf0@woodcraft.org.uk,
Support to Young Co-operators,Grace in Action Collectives,Network for youth,Americas,United States of America,Detroit,42.331427,-83.0457538,,,Network for youth,"1725 Lawndale St., Detroit, Michigan 48209 USA",Grace in Action Collectives is a network of youth run and worker owned cooperatives in Southwest Detroit,,www.giacollectives.org,meghan@graceinactiondetroit.org,
Support to Young Co-operators,FDSFHS,Network for youth,Americas,Costa Rica,n/a,9.748917,-83.753428,,,Network for youth,n/a,Es muy bonita,,n/a,efsd@vdgfd.com,
Support to Young Co-operators,Cooperative Sagrada Familia,Network for youth,Americas,Honduras,Tegucigalpa,14.0722751,-87.192136,,,Network for youth,"Edificio Principal. Res. El Trapiche, Boulevard Suyapa, contiguo a FUTECA, Tegucigalpa, Honduras",es una cooperativa de ahorro y crédito comprometida con el bienestar social de sus afiliados.,"Nuestra cooperativa realmente se empodero del desafío de integrar a la juventud al movimiento cooperativo, por lo que realiza una gran inversión en las actividades de inclusión que realiza el comité de juventud.",https://www.sagradafamilia.hn/comites/comite-de-juventud/,info@sagradafamilia.hn,
Support to Young Co-operators,"Soluciones Ciudadanas para la equidad el desarrollo, A.C.",Network for youth,Americas,México,CDMX,19.4326077,-99.133208,,,Network for youth,Cabo verde # 18 Col. Gabriel Hernández C.P. 07080 Av. de los arcos # 36 B 47 Col. Parque Industrial Naucalpan EDO.MEX.,"Nos dedicamos a capacitar, orientar, asistir y apoyar a jóvenes estudiantes y trabajadores, para que sean sus propios gestadores de crecimiento, a través de que desarrollen habilidades y competencias que les ayuden a conseguir mejores oportunidades laborales y académicas.",Somos una A.C. sin fiens elucros y tambien somos una Incubadora de negocios que ayuda a los jóvenes a detectar oportunidades de negocios para que ellos invertan en ellas a travpes d ela creación d eempresas.,www.fondecc.com,incubadora@fondecc.com,
Support to Young Co-operators,Andariega Hemp,Network for youth,Americas,Uruguay,Montevideo,-34.9011127,-56.1645314,,,Network for youth,"11800, Barrio Aguada, Montevideo, Uruguay","Somos un colectivo de personas activistas de la agroindustria y textil, unidos para empoderar la industria nacional del agro y el textil. Hoy creando demanda, producimos prendas recicladas con agregados de Cáñamo intervenidos con Ecoprint, método de teñido ecológico, apuntando a un parate al fast fashion y motivando la innovación y sostenibilidad.","Estamos instalados en un Enlace Cowork, espacio de trabajo colaborativo. Aquí compartimos espacio con 35 emprendimientos más en muchas ramas. Buscamos colaborar de forma activa en la participación social del joven emprendedor con apuesta cooperativista. Nuestro espacio de taller textil y de motivación esta abierto.",https://www.facebook.com/pg/ModoAndariega/about/?ref=page_internal,andariegahemp@gmail.com,
Support to Young Co-operators,Action Sociale et d'Organisation Paysanne ASOP/Youlima,Network for youth,Africa,Democratic Republic of Congo,Bukavu,-2.5123017,28.8480284,,,Network for youth,"1991 Bukavu, Democratic Republic of Congo","Youlima etymologiquement est formé de 2 mots le Youth : jeunesse et Lima : labourer. Il signifie Jeunesse en agriculture. Le Youlima est un réseau des entreprises des jeunes travaillant dans le domaine agricole. Les entreprises membres du Youlima sont féderées pour les échanges d'experience, la formation en techniques de production et de gestion, la conception de plan d'affaire, l'experimentation des idées d'entreprise, la réception du capital de demarage ou mise en contact avec une Banque et le mentorat. Les jeunes projetent créent leur proore institution de finance grâce aux intérets générés de leurs projet.",,www.asopcongo.org,youlima@asopcongo.org,
Support to Young Co-operators,AEMT,Network for youth,Africa,Democratic Republic of Congo,Butembo,0.114047,29.3018011,,,Network for youth,"AEMT Ville de Butembo 29, Democratic Republic of Congo",n/a,,n/a,,
Support to Young Co-operators,YPARD RDC,Network for youth,Europe,Italy,Rome,41.9027835,12.4963655,,,Network for youth,n/a,n/a,n/a,n/a,n/a,
Support to Young Co-operators,Agricultores Federados Argentinos Sociedad Cooperativa Ltda,Network for youth in the cooperative movement,Americas,Argentina,Rosario,-32.9442426,-60.6505388,,,Network for youth in the cooperative movement,"Mitre 1132, Rosario, Argentina","Jóvenes AFA es una agrupación de Agricultores Federados Argentinos Sociedad Cooperativa Limitada compuesta por hijos de Asociados, de empleados de la Cooperativa o relacionados al medio rural que se interesan por la doctrina cooperativa y el sector agropecuario. Actualmente, Jóvenes AFA cuenta con 150 jóvenes nucleados en 20 Grupos de Jóvenes AFA en localidades de las provincias de Santa Fe, Buenos Aires y Córdoba donde la Cooperativa posee presencia arraigada. Misión: Fomentar la Educación en la Doctrina Cooperativa y Agropecuaria en todos sus aspectos, para lograr el desarrollo de los Jóvenes en nuestras comunidades. Trabajar en la formación de Dirigentes, mediante los Principios y Valores Cooperativos, con el fin de mejorar el capital humano y el bienestar de las familias argentinas. Visión: Un grupo de jóvenes formados dentro de la doctrina cooperativa y agropecuaria sosteniendo como estandarte el Asociativismo y la defensa de los Principios, Valores Cooperativos y, sobre todo, a nuestra entidad como herramienta para garantizar la subsistencia de los pequeños y medianos productores en el sistema económico. Apostamos a la construcción colectiva en la búsqueda de soluciones a cuestiones que atañen no solo al medio rural, sino también a la comunidad en su conjunto. Nos comprometemos con la comunidad y el desarrollo de la misma en todos sus aspectos (económico, social, cultural) y buscamos permanentemente el desarrollo integral de las familias Argentina.",Actualmente nuestra juventud cooperativista discute temas llegados a nuestros y nuestras jóvenes del sector agropecuario y de las localidades del interior de nuestro país en cuales esta presente la cooperativa,http://afa.afascl.coop/jovenes.php,jovenes@afascl.coop,
Support to Young Co-operators,Tecnico Departamento de Proyectos Cooperativos,Network for youth in the cooperative movement,Americas,Guatemala,Guatemala,15.783471,-90.230759,,,Network for youth in the cooperative movement,"24 calle 3-08 zona 1, Guatemala","40 años de ser la Cooperativa de Tercer nivel, representando sectores productivos del pais",,www.confecoopgu.coop,confecoopgu@gmail.com,
Support to Young Co-operators,Sistema OCB/ES,Network for youth in the cooperative movement,Americas,Brasil,Espirito Santo,-19.1834229,-40.3088626,,,Network for youth in the cooperative movement,"Av. Mal. Mascarenhas de Moraes, N°2501 - Bento Ferreira, Vitória - ES - BRAZIL, ZIP CODE 29050-626","The OCB / ES system is the institution responsible for representing the cooperativism of the state, in addition to offering vocational training actions for cooperative employees and cooperatives. In addition to encouraging the participation of young people in cooperativism.",,www.ocbes.coop.br,marcos.passos@ocbes.coop.br,
Support to Young Co-operators,Cooperativa Languiru Ltda.,Network for youth in the cooperative movement,Americas,Brazil,Teutônia,-29.4716222,-51.8167696,,,Network for youth in the cooperative movement,"Rua Tres de Outubro, 120 Bairro Languiru 95.890-000 - Teutônia - RS Brazil",A farming production cooperative.,A cooperative with more than 6.000 farmers.,https://www.languiru.com.br/,imprensa@languiru.com.br,
Support to Young Co-operators,Sidlakusale Youth Multipurpose Co operative,Network for youth in the cooperative movement,Africa,Eswatini,Nhlangano,-27.1211272,31.1996708,,,Network for youth in the cooperative movement,n/a,A vibrant and energetic youth group that grows crops and vegetables for commercial purpose. We are made up of 7 males and 5 females.,For supply of excellent quality and fresh crops and vegetables do not hesitate to talk to us. We would love to tap into exporting our produce in the future. We would also love to collaborate with other youth cooperatives in agriculture and other sectors.,n/a,sidlakusaleymc@gmail.com,
Support to Young Co-operators,Boresha Sacco Society Ltd.,Network for youth in the cooperative movement,Africa,Kenya,Nakuru,-0.3030988,36.080026,,,Network for youth in the cooperative movement,"PO Box 80-20103 Eldama Ravine, Market Road, Nakuru, Kenya","Boresha SACCO rebranded from Baringo Teachers Sacco Society limited in the year 2012. The Society has 11 Performing Branches spread over Baringo County in Kenya and Neighbouring Counties. The Eleven Branches are fully Operational namely: Ravine, Kabarnet, Marigat, Mogotio, Kabartonjo, Mochongoi, Barewesa, Eldoret, Chemolingot, Nakuru and Kapsabet. Satellite/Agency Offices are 4 - Tenges, Kipsaraman, Kisanana and Mumberes.","MEMBERSHIP COMPOSITION: Salaried Members - Teachers under Teachers Service Commission (TSC), Civil Servants employed by Public Service Commission, County Governments Staff, KNUT and NGOs Staff, SACCO and its subsidiaries Staff, Retired SACCO Members, Companies and Parastatals Pensionable Staff.  Non Salaried Members Biashara & Kilimo Members – Individual business persons, Micro Enterprises, The General Members of the Community, Micro-credit Members, Farmers (Individuals and groups), Jua Kali business persons, Youth and Women groups and Chamas. Corporates/Institutions - Registered business Entities, Institutions, Schools and Colleges, Churches, Community Based Organizations (CBOs), Cattle Dips, Registered Enterprises Business, Investment Groups and Registered Companies.",www.boreshasacco.co.ke,info@boreshasacco.co.ke,
Support to Young Co-operators,Nigerian Youth Cooperative Network,Network for youth in the cooperative movement,Africa,Nigeria,Lagos,6.5243793,3.3792057,,,Network for youth in the cooperative movement,"c/o LASCOFED BUILDING Plot 6, Isaacstan Close, Off Wempco Road, Ogba Industrial Scheme, Ogba-Ikeja, Lagos State, Nigeria","The Nigerian Youth Cooperative Network (NYCN-COOP) is the apex body representing the Youth Co-operative Movement in Nigeria (both in and out of school youth). www.youthincoops.org The main activities of the NYCN-COOP is to propagate and spread the gospel of cooperation, its principles and practices, promote co-operative education, carry out research and disseminate information among cooperators and the public masses in Nigeria (mostly among in & out of school youths) with and for the purpose of creating awareness, informing and re-orientating them about cooperatives, advocating, developing and organizing students and youth cooperatives, also to represent the emerging youth co-operative movement nationally and internationally, and to provide management, consultancy and other advisory services for such cooperatives. Furthermore, NYCN-COOP studies the nature and workings of the International Co-operative Alliance (ICA) and the Co-operative Federations in Nigeria, to promote its ideals and principles through conferences, workshops, seminars, press release, and other related activities of youths, it’s implication is that this will form a basis for eradication of poverty and unemployment.","The Nigerian Youth Cooperative Network (NYCN-COOP) is the apex body representing the Youth Co-operative Movement in Nigeria (both in and out of school youth). www.youthincoops.org The main activities of the NYCN-COOP is to propagate and spread the gospel of cooperation, its principles and practices, promote co-operative education, carry out research and disseminate information among cooperators and the public masses in Nigeria (mostly among in & out of school youths) with and for the purpose of creating awareness, informing and re-orientating them about cooperatives, advocating, developing and organizing students and youth cooperatives, also to represent the emerging youth co-operative movement nationally and internationally, and to provide management, consultancy and other advisory services for such cooperatives. Furthermore, NYCN-COOP studies the nature and workings of the International Co-operative Alliance (ICA) and the Co-operative Federations in Nigeria, to promote its ideals and principles through conferences, workshops, seminars, press release, and other related activities of youths, it’s implication is that this will form a basis for eradication of poverty and unemployment.",www.youthincoops.org,youthincoops@yahoo.com,
Support to Young Co-operators,North American Students of Cooperation (NASCO),Network for youth in the cooperative movement,Americas,United States of America,Chicago,41.8781136,-87.6297982,,,Network for youth in the cooperative movement,"1100 W Cermak Rd #514 Chicago, IL 60608 USA","Since 1968, NASCO has been working with students, housing co-ops, worker-owners, activists, and community members who are interested in applying cooperative principles to meet their needs and fulfill their missions. NASCO is the network that facilitates mutual aid and support amongst co-ops.","NASCO organizes and educates affordable group equity co-ops and their members for the purpose of promoting a community-oriented cooperative movement. We are a membership organization of about 50 member cooperatives, representing roughly 4,000 cooperators across the US and Canada.",https://www.nasco.coop/,info@nasco.coop,
Support to Young Co-operators,Rwanda Cooperatives Professionals,NGOs,Africa,Rwanda,Kigali,-1.9705786,30.1044288,,,NGOs,"KK503 St, Ngoma cell, Kicukiro Sector, Kicukiro district, Kigali city, Rwanda",Drawing on the skills and expertise of an experienced and knowledgeable staffs. Rwanda Coops Pro also provides consulting on a fee-for-service basis and is often successful in helping coops secure autonomy. Rwanda cooperatives Professionals vision and mission statements.,"Rwanda cooperatives professionals (hereinafter called Rwanda Coops Pro). Rwanda cooperatives professionals is a non government organization that was founded by cooperatives professionals in September 2018. Since the foundation, Rwanda CoopsPro has been committed to providing a range of innovative, results-oriented, and cost-effective services to cooperatives and related organizations. Vision: We envisions at getting Rwandans working together cooperatively and responsibly to achieve their social and economic well-being through organizations they control. Mission: To partner and speeds-up development and strengthen cooperatives movement in Rwanda by providing highly effective development services to existing and new cooperatives.",www.facebook.com/rwandacoopsprofessionals,rwandacoops@gmail.com,
