GROUP_CONCAT(DISTINCT RegistrantId),Organisation,c
"C467146396-CNIC,C598582993-CNIC",The Co-operative Federation Ltd,2
"C496401864-CNIC,C496401859-CNIC",The Coca-Cola Company,2
"C161725228-CNIC,C244305209-CNIC",The Contractor Co-operative Limited,2
"C462072596-CNIC,C619193768-CNIC",The Drivers Cooperative,2
"C283906684-CNIC,C283883759-CNIC",The Food Co-op,2
"C100552838-CNIC,C165547923-CNIC",The Internet of Ownership,2
"C646572909-CNIC,C646572964-CNIC",The Local Crowd Cooperative,2
"C218249759-CNIC,C304516419-CNIC",The Society for the Reduction of Carbon Limited,2
"C283883219-CNIC,C283883184-CNIC",The Veterinary Cooperative,2
"C364993516-CNIC,C283903879-CNIC",Toledo Area Community Credit Union,2
"C174012613-CNIC,C300251844-CNIC",Trama SCCL,2
"C202400305-CNIC,C202903000-CNIC",UCAMAN,2
"C18223672-CNIC,C475213614-CNIC",UCEV Unio Cooperatives d'Ensenyament Valencianes,2
"C138409919-CNIC,C135336448-CNIC",UP,2
"C18214054-CNIC,C375929326-CNIC",URSCOP AUVERGNE RHONE ALPES,2
"C83703237-CNIC,C564925593-CNIC",URSCOP Ile de France,2
"C18209287-CNIC,C18219637-CNIC",US Postal Service FCU,2
"C18210016-CNIC,C630723148-CNIC",USAgencies CU,2
"C283900564-CNIC,C283890099-CNIC",USU Charter Federal Credit Union,2
"C133403736-CNIC,C133403566-CNIC",UW Credit Union,2
"C117805621-CNIC,C560568083-CNIC",Union Regionale des SCOP Aquitaine,2
"C18218602-CNIC,C18218620-CNIC",Union Regionale des SCOP Languedoc Roussillon,2
"C507570024-CNIC,C507570039-CNIC","Union Rural Electric Cooperative, Inc.",2
"C315572416-CNIC,C315572441-CNIC",Unite de travail pour l'implantation de logement etudiant (UTILE),2
"C18209710-CNIC,C578360268-CNIC",United Educators Credit Union,2
"C176403333-CNIC,C176398068-CNIC","United Electric Co op, Inc.",2
"C283906124-CNIC,C283890329-CNIC",United Solutions Company,2
"C213708839-CNIC,C532830954-CNIC",UnitedDiversity LLP,2
"C19394242-CNIC,C203984500-CNIC",Urgence Bois-Francs,2
"C158019198-CNIC,C208484955-CNIC",VME Coop,2
"C164284773-CNIC,C364959236-CNIC",Valley Natural Foods,2
"C283900384-CNIC,C283909759-CNIC",Vancouver City Savings Credit Union,2
"C89295043-CNIC,C283890254-CNIC",Vermont FCU,2
"C283889249-CNIC,C283889779-CNIC",Vernon Communications Coop,2
"C18207982-CNIC,C18207985-CNIC","Vigilante Electric Cooperative, Inc",2
"C18209041-CNIC,C283900734-CNIC",Virginia Credit Union League,2
"C152529813-CNIC,C206202015-CNIC",Voltes Arquitectura,2
"C283896794-CNIC,C283896844-CNIC",Voyageur Communications Coop,2
"C537116964-CNIC,C537116969-CNIC",WTO,2
"C18207988-CNIC,C18214930-CNIC",Wabash Valley Power Association,2
"C312324411-CNIC,C498961519-CNIC","We Own Global, PBC",2
"C496385544-CNIC,C496380579-CNIC",WeOwnit Cooperative,2
"C18211393-CNIC,C45283174-CNIC",Weaver Street Market,2
"C46691968-CNIC,C512595054-CNIC",Webarchitects,2
"C18209920-CNIC,C125803503-CNIC",Wedge Community Co-op,2
"C18207997-CNIC,C18221572-CNIC",Wells Rural Electric Company,2
"C18208288-CNIC,C39287012-CNIC",Wes Tex Telephone Cooperative,2
"C39706250-CNIC,C39706386-CNIC",West Kentucky Rural Telephone,2
"C18216052-CNIC,C567374903-CNIC",Westmill Wind Farm Co-operative,2
"C18225319-CNIC,C685515988-CNIC",Whole Foods Cooperative,2
"C18207907-CNIC,C92039293-CNIC",Wilco Farmers,2
"C126599031-CNIC,C126598473-CNIC",Wiregrass Electric Cooperative Inc.,2
"C18215425-CNIC,C18227935-CNIC",Wisconsin Credit Union League,2
"C136027094-CNIC,C18229126-CNIC",Work For Change Ltd.,2
"C18209983-CNIC,C18225808-CNIC",Wright Patt CU Inc,2
"C576735043-CNIC,C576735088-CNIC",Yampa Valley Electric Association,2
"C18213196-CNIC,C18213208-CNIC",Zenrosai,2
"C38812020-CNIC,C75040101-CNIC",c/o EnCirca Privacy Service,2
"C113202016-CNIC,C18225061-CNIC",coop eG,2
"C89964618-CNIC,C288465769-CNIC",farm.coop SCRL,2
"C180679102-CNIC,C269967843-CNIC",femprocomuns SCCL,2
"C18225409-CNIC,C37738891-CNIC",iCOOP KOREA,2
"C18210832-CNIC,C18210835-CNIC",insite,2
"C296219219-CNIC,C488223914-CNIC",troizaire,2
"C18217126-CNIC,C18230875-CNIC",ucoop,2
"C522965949-CNIC,C522965999-CNIC,C522966024-CNIC",AIDE@VENIR SUD-GIRONDE,3
"C267765088-CNIC,C204998910-CNIC,C226892014-CNIC",ALLIANCE BFC Union de Cooperatives Agricoles,3
"C180338807-CNIC,C209806165-CNIC,C263479587-CNIC","ANDALUZA DE INFORMATICA Y OFIMATICA, S.C.A.",3
"C18220204-CNIC,C18222670-CNIC,C18230980-CNIC",ASTERA,3
"C135450271-CNIC,C199980439-CNIC,C200012579-CNIC",AVELTIS,3
"C364553766-CNIC,C364553771-CNIC,C364553776-CNIC",Aberdeen Federal Credit Union,3
"C23913027-CNIC,C225858254-CNIC,C658201584-CNIC",Agri-mark / Cabot Creamery Coop,3
"C382417905-CNIC,C382419190-CNIC,C283905989-CNIC",Arizona Credit Union League,3
"C18206764-CNIC,C40089115-CNIC,C359075271-CNIC",Arkansas Electric Cooperative,3
"C537734179-CNIC,C540755014-CNIC,C616108228-CNIC",Australian Disability Ltd,3
"C18224266-CNIC,C18226825-CNIC,C547267299-CNIC",Banyan Project,3
"C18206785-CNIC,C18206788-CNIC,C204623390-CNIC",Basin Electric Power Cooperative,3
"C367344551-CNIC,C367344556-CNIC,C367344571-CNIC",Bayview Coop c/o Inspired Social Impact,3
"C218539759-CNIC,C18228076-CNIC,C39889053-CNIC",Brownhill Primary Academy,3
"C18208552-CNIC,C18221242-CNIC,C18222136-CNIC",CDF Canada,3
"C151322308-CNIC,C151322353-CNIC,C150612458-CNIC",Canadian Co-operative Investment Fund,3
"C302854454-CNIC,C302855584-CNIC,C295846849-CNIC",Cap Services,3
"C18224218-CNIC,C582249298-CNIC,C594285358-CNIC",Carolina Common Enterprise,3
"C306074634-CNIC,C306084884-CNIC,C175290518-CNIC",Central Coop,3
"C18206920-CNIC,C18213271-CNIC,C18223660-CNIC",Central Iowa Power Cooperative,3
"C231515104-CNIC,C230143899-CNIC,C288270159-CNIC",Co-operative Group Limited,3
"C18212536-CNIC,C50363819-CNIC,C330123746-CNIC",Co-operatives UK Limited,3
"C283901229-CNIC,C283901264-CNIC,C375443791-CNIC",CoServ Electric,3
"C18206953-CNIC,C45664516-CNIC,C506693314-CNIC",Coastal Electric Cooperative,3
"C654827589-CNIC,C654826274-CNIC,C654827914-CNIC",Comax Cooperative agricole,3
"C18210700-CNIC,C18210958-CNIC,C18226807-CNIC",Consumers Co-operative Federation Coopnet,3
"C283909354-CNIC,C302990014-CNIC,C283883289-CNIC",Cornbelt Power Cooperative,3
"C18209284-CNIC,C18224659-CNIC,C455048396-CNIC","Credit Union National Association, Inc.",3
"C484221914-CNIC,C552030962-CNIC,C552030992-CNIC",Dandelion Collective Ltd,3
"C525183204-CNIC,C525183354-CNIC,C525183579-CNIC",Dazzle LCA c/o Zebras Unite,3
"C18219592-CNIC,C188116364-CNIC,C388811105-CNIC",Democracy at Work Institute,3
"C542122759-CNIC,C581130783-CNIC,C615457228-CNIC",ECOSEC,3
"C180672047-CNIC,C180667092-CNIC,C180670587-CNIC","East Kentucky Power Coop., Inc.",3
"C116654123-CNIC,C22319729-CNIC,C171254328-CNIC",FairShares Association,3
"C18210778-CNIC,C18228142-CNIC,C569637223-CNIC",Federaci de Cooperatives de Treball de Catalunya,3
"C283901454-CNIC,C283900934-CNIC,C283901409-CNIC",Federation of New York Housing Cooperatives,3
"C283904864-CNIC,C283905394-CNIC,C283904904-CNIC",Florida Central Credit Union,3
"C38425740-CNIC,C18207112-CNIC,C517162489-CNIC",Freeborn Mower Electric Cooperative,3
"C39771662-CNIC,C18218641-CNIC,C432923856-CNIC",Freedom Credit Union,3
"C458908416-CNIC,C281845994-CNIC,C284970919-CNIC",Freepress S. Coop. Mad.,3
"C376827500-CNIC,C377949900-CNIC,C377949915-CNIC",Friends Circle for Eden,3
"C18207571-CNIC,C127586389-CNIC,C127586409-CNIC",GCMMF Ltd. Amul India,3
"C283904969-CNIC,C283895029-CNIC,C283897734-CNIC",Golden Valley Electric Association,3
"C626188428-CNIC,C626188418-CNIC,C558702717-CNIC",Groupe Cooperatif Demain,3
"C18210847-CNIC,C83200382-CNIC,C506234694-CNIC",Honest Weight Food Co-op,3
"C551596549-CNIC,C31300930-CNIC,C129175815-CNIC","Hoosier Energy REC, Inc.",3
"C18217510-CNIC,C18221575-CNIC,C18210724-CNIC",INSITE,3
"C18214573-CNIC,C18223117-CNIC,C365360251-CNIC",Indiana Cooperative Development Center,3
"C139664921-CNIC,C404987030-CNIC,C405615090-CNIC",Joe Wheeler EMC,3
"C117785126-CNIC,C70173541-CNIC,C315836781-CNIC",La Ciutat Invisible SCCL,3
"C636298883-CNIC,C636298908-CNIC,C644806638-CNIC",Made in Rwanda Coop,3
"C615180778-CNIC,C612293668-CNIC,C616413818-CNIC",Marlboro Electric Coop,3
"C18215734-CNIC,C48763390-CNIC,C229083754-CNIC",Mediacoop Ltd.,3
"C18207445-CNIC,C211754884-CNIC,C579524583-CNIC",Meeker Co op Light & Power Assn.,3
"C18210802-CNIC,C18210805-CNIC,C18210808-CNIC",Minn Dak Farmers Cooperative,3
"C327635556-CNIC,C189590674-CNIC,C327493986-CNIC",Mitchell Coxan Creative Communications LLP,3
"C18216631-CNIC,C283897279-CNIC,C333538461-CNIC",Montana Credit Union Network,3
"C18209617-CNIC,C337128571-CNIC,C643568893-CNIC",National Cooperative Grocers Association,3
"C132856590-CNIC,C568891963-CNIC,C568893088-CNIC",National Dairy Development Boad,3
"C18208447-CNIC,C255560747-CNIC,C619399093-CNIC","National Information Solutions Cooperative, Inc.",3
"C283883529-CNIC,C283889384-CNIC,C283889379-CNIC","Northeast Oklahoma Electric Cooperative, Inc.",3
"C18223447-CNIC,C18223450-CNIC,C481210889-CNIC",ORCAB,3
"C621538383-CNIC,C627887903-CNIC,C621513353-CNIC",OTIS Federal Credit Union,3
"C18207655-CNIC,C18229555-CNIC,C564688578-CNIC",Oklahoma Assn. of Electric Coops.,3
"C84507938-CNIC,C84507840-CNIC,C84508111-CNIC",PARTIDO SOLIDARIO,3
"C283898579-CNIC,C364991926-CNIC,C364992161-CNIC",PCEC,3
"C20518238-CNIC,C307682666-CNIC,C319057406-CNIC",Patria Digitalis,3
"C210760330-CNIC,C210760005-CNIC,C210760225-CNIC",Raiffeisen e-force GmbH,3
"C18220189-CNIC,C83703256-CNIC,C83703246-CNIC",SADEL,3
"C112675267-CNIC,C112675212-CNIC,C539779324-CNIC",SC Telco FCU,3
"C325366996-CNIC,C317832096-CNIC,C317832111-CNIC",SCIC SAS BABEL.COOP,3
"C18225397-CNIC,C227161839-CNIC,C227161854-CNIC",SOCAPS,3
"C283899809-CNIC,C283899879-CNIC,C283909024-CNIC","SW Transmission Cooperative, Inc.",3
"C283883584-CNIC,C283911319-CNIC,C283911429-CNIC",Salem Electric,3
"C18208477-CNIC,C184094847-CNIC,C41269946-CNIC","Seminole Electric Co op, Inc.",3
"C18220564-CNIC,C148160323-CNIC,C286361624-CNIC",Sharenergy,3
"C18208528-CNIC,C108254957-CNIC,C549975759-CNIC",Singing River Electric Power Association,3
"C375964251-CNIC,C167952218-CNIC,C380364285-CNIC",Societe cooperative agricole,3
"C18212755-CNIC,C18228271-CNIC,C18228274-CNIC","Taylor Electric Cooperative, Inc.",3
"C283899129-CNIC,C283896484-CNIC,C283893814-CNIC","Texas Electric Cooperatives, Inc.",3
"C18214891-CNIC,C18226645-CNIC,C32193234-CNIC",The Agency for Co-operative Housing,3
"C581293898-CNIC,C581294098-CNIC,C581294288-CNIC",The Guild,3
"C18207955-CNIC,C18207958-CNIC,C30373305-CNIC",Tri County Electric Cooperative,3
"C4685183-CNIC,C325100331-CNIC,C542578789-CNIC","Tri-County Electric Cooperative, Inc.",3
"C283886369-CNIC,C283910409-CNIC,C332413221-CNIC",Tri-State G&T Association Inc.,3
"C283912729-CNIC,C283912839-CNIC,C283887964-CNIC",Tri-State Generation and Transmission,3
"C18213136-CNIC,C175040928-CNIC,C542170604-CNIC",U.S. Federation of Worker Cooperatives,3
"C18211516-CNIC,C18211522-CNIC,C18211525-CNIC",UCAL,3
"C153131993-CNIC,C18210823-CNIC,C564308538-CNIC",Union Invivo,3
"C33986750-CNIC,C33986759-CNIC,C134082315-CNIC",VIVACO groupe cooperatif,3
"C567398598-CNIC,C567398583-CNIC,C567398588-CNIC",West Assam Milk Producers' Cooperative Union Limited,3
"C31386048-CNIC,C163819068-CNIC,C112684103-CNIC","Y-W Electric Association, Inc.",3
"C18231316-CNIC,C519050584-CNIC,C519050589-CNIC",scael,3
"C617862878-CNIC,C683974438-CNIC,C630367593-CNIC,C631197848-CNIC",BCCM,4
"C18206830-CNIC,C300659039-CNIC,C300659689-CNIC,C300660274-CNIC",Boone Electric Cooperative,4
"C658387834-CNIC,C658387829-CNIC,C21040254-CNIC,C658387839-CNIC",Business Council of Co-operatives and Mutuals,4
"C18219847-CNIC,C20342401-CNIC,C158049273-CNIC,C221623464-CNIC",CCA Global Partners,4
"C18208705-CNIC,C18208711-CNIC,C18215338-CNIC,C605051183-CNIC",CGSCOP,4
"C280473539-CNIC,C18225709-CNIC,C18228646-CNIC,C84423823-CNIC",Caja Popular Mexicana,4
"C283910499-CNIC,C18213520-CNIC,C283910784-CNIC,C283910844-CNIC",Centre for the Study of Co-operatives,4
"C503398144-CNIC,C503395714-CNIC,C503398274-CNIC,C564216328-CNIC",Claiborne Electric Cooperative,4
"C515074809-CNIC,C620356633-CNIC,C628030803-CNIC,C628030863-CNIC",Coop Norge SA,4
"C337071301-CNIC,C283895104-CNIC,C84172934-CNIC,C280412854-CNIC",Cooperative Development Institute,4
"C283909889-CNIC,C283910259-CNIC,C283910179-CNIC,C283910304-CNIC",Cooperative Village Management,4
"C18209053-CNIC,C18237985-CNIC,C448913376-CNIC,C566284053-CNIC","Corporate One Credit Union, Inc.",4
"C283901139-CNIC,C283894864-CNIC,C283890629-CNIC,C283897559-CNIC",DUMMY HANDLE,4
"C283890484-CNIC,C283890494-CNIC,C283890519-CNIC,C283890409-CNIC",Darigold,4
"C283905824-CNIC,C283909244-CNIC,C283884559-CNIC,C283884589-CNIC",Delaware Electric Cooperative,4
"C569354188-CNIC,C569356958-CNIC,C579914378-CNIC,C579922183-CNIC","ECOMMERCE COOPERATIVE, LLC",4
"C305382044-CNIC,C305382079-CNIC,C469174806-CNIC,C469174621-CNIC",Farmers electric coop,4
"C154476043-CNIC,C154476363-CNIC,C154476563-CNIC,C154476443-CNIC",Great Lakes Energy,4
"C576839413-CNIC,C576839433-CNIC,C576839483-CNIC,C576839633-CNIC",Intermountain Farmers Association,4
"C515086454-CNIC,C515086459-CNIC,C645086998-CNIC,C665588524-CNIC",Local Government Federal Credit Union,4
"C18222085-CNIC,C168879678-CNIC,C168880723-CNIC,C246369119-CNIC",MAPA inc,4
"C18206665-CNIC,C18210607-CNIC,C539048124-CNIC,C543438834-CNIC",National Cooperative Business Association,4
"C18207490-CNIC,C18207502-CNIC,C18207511-CNIC,C18207520-CNIC",National Rural Utilities Cooperative Finance Corporation,4
"C440156871-CNIC,C440156891-CNIC,C440156876-CNIC,C440155466-CNIC",New Hampshire Electric Coop,4
"C463619426-CNIC,C463619526-CNIC,C463619566-CNIC,C463619606-CNIC",Northcentral Electric Power Association,4
"C283894054-CNIC,C283892709-CNIC,C283891479-CNIC,C283891689-CNIC",NuUnion,4
"C18227590-CNIC,C168996618-CNIC,C203688435-CNIC,C615960398-CNIC",ROC USA,4
"C23995497-CNIC,C248850102-CNIC,C248850112-CNIC,C649222724-CNIC",Scity,4
"C18210790-CNIC,C18219493-CNIC,C225902264-CNIC,C618778118-CNIC",Sollio Cooperative Group,4
"C18230872-CNIC,C175053533-CNIC,C177995483-CNIC,C234041284-CNIC",SostreCivic,4
"C654933619-CNIC,C654933604-CNIC,C654933589-CNIC,C138189099-CNIC",TERRE D'ALLIANCES,4
"C612217588-CNIC,C220320774-CNIC,C82020541-CNIC,C196480894-CNIC",TERRENA,4
"C283904319-CNIC,C283908439-CNIC,C283892864-CNIC,C283892549-CNIC",Timmy Bohlman,4
"C112195338-CNIC,C112194648-CNIC,C131423465-CNIC,C18222265-CNIC",UR SCOP MIDI PYRENEES,4
"C148303428-CNIC,C254491207-CNIC,C254414087-CNIC,C572449993-CNIC",Union de Cooperativas Agrarias de Navarra,4
"C65992308-CNIC,C65990893-CNIC,C65981348-CNIC,C65983837-CNIC",first credit union,4
"C18210448-CNIC,C18210460-CNIC,C18210472-CNIC,C18210484-CNIC",kanagawa coop,4
"C264143418-CNIC,C197521389-CNIC,C302545029-CNIC,C569997533-CNIC",printing.coop,4
"C575773093-CNIC,C575773098-CNIC,C575773103-CNIC,C575773113-CNIC,C666120159-CNIC",Alaska USA FCU,5
"C483682659-CNIC,C482892684-CNIC,C482893724-CNIC,C482894009-CNIC,C482893884-CNIC",BPCE,5
"C47582975-CNIC,C220954699-CNIC,C329878576-CNIC,C491229834-CNIC,C491229859-CNIC",COOPERER POUR ENTREPRENDRE,5
"C18229072-CNIC,C18229366-CNIC,C18229378-CNIC,C18229390-CNIC,C18229402-CNIC",Cooperativa Obrera Ltda,5
"C135929783-CNIC,C539909779-CNIC,C135929918-CNIC,C135924277-CNIC,C18221917-CNIC","Cooperativa de Ahorro, Credito y Servicios Universitaria Limitada",5
"C650283489-CNIC,C650283324-CNIC,C641107683-CNIC,C650283714-CNIC,C284274744-CNIC",Corporation Service Company,5
"C18210727-CNIC,C18216955-CNIC,C173166653-CNIC,C131792584-CNIC,C376305385-CNIC",EMC2,5
"C18208723-CNIC,C18229105-CNIC,C18229507-CNIC,C45746107-CNIC,C129659090-CNIC",Elabora Soc. Coop,5
"C113094252-CNIC,C113094378-CNIC,C113094203-CNIC,C113094146-CNIC,C113093178-CNIC",FreeState Electric Cooperative,5
"C401095695-CNIC,C202616575-CNIC,C554246133-CNIC,C569138328-CNIC,C569138338-CNIC",GCMMF,5
"C18226669-CNIC,C124058261-CNIC,C331489426-CNIC,C331490521-CNIC,C331490526-CNIC",Grower Information Services Cooperative,5
"C130842095-CNIC,C130842485-CNIC,C130842470-CNIC,C130842460-CNIC,C211188915-CNIC",Kentucky Assn. of Electric Coop.,5
"C680400228-CNIC,C680400333-CNIC,C680401013-CNIC,C680420728-CNIC,C680420798-CNIC","Lee County Electric Cooperative, Inc.",5
"C18209623-CNIC,C18216199-CNIC,C119006348-CNIC,C553951983-CNIC,C643530618-CNIC",NRECA,5
"C685558488-CNIC,C685558623-CNIC,C685558718-CNIC,C685558773-CNIC,C685558838-CNIC",Pachamama Coffee Cooperative of Small-Scale Coffee Producers,5
"C18231382-CNIC,C31471468-CNIC,C34050483-CNIC,C70398258-CNIC,C274001188-CNIC",Services Coop de France,5
"C640905778-CNIC,C640905783-CNIC,C640905793-CNIC,C664928944-CNIC,C664928949-CNIC","Shifted Paradigm Ventures, Inc.",5
"C621373178-CNIC,C618433783-CNIC,C598528348-CNIC,C598470788-CNIC,C507145264-CNIC","Southside Electric Cooperative, Inc.",5
"C420710586-CNIC,C420710676-CNIC,C429487311-CNIC,C429487326-CNIC,C628325528-CNIC","The Information Nonstock Cooperative Association, Inc.",5
"C18211357-CNIC,C195853534-CNIC,C195853294-CNIC,C18219448-CNIC,C195853054-CNIC",The Phone Co-op,5
"C283889394-CNIC,C283911009-CNIC,C283909309-CNIC,C283889389-CNIC,C290314534-CNIC",Tri-State Generation and Transmission Association,5
"C18210733-CNIC,C37201727-CNIC,C37201895-CNIC,C37202120-CNIC,C579824098-CNIC,C581086503-CNIC",COCETA,6
"C33155268-CNIC,C34103664-CNIC,C19625767-CNIC,C44722070-CNIC,C45746699-CNIC,C120867738-CNIC",CONFCOOPERATIVE,6
"C18223885-CNIC,C18223888-CNIC,C18223891-CNIC,C18223894-CNIC,C18223897-CNIC,C18222928-CNIC",Confederazione Cooperative Italiane (CONFCOOPERATIVE),6
"C620655098-CNIC,C620655298-CNIC,C620655393-CNIC,C620655423-CNIC,C620655493-CNIC,C620655578-CNIC",Daniel Charles,6
"C18220228-CNIC,C18220231-CNIC,C18224710-CNIC,C18225967-CNIC,C32394713-CNIC,C225489604-CNIC",East of England Co-operative Society Limited,6
"C18208099-CNIC,C18208111-CNIC,C18208123-CNIC,C18208135-CNIC,C18208147-CNIC,C18213904-CNIC","Horry Telephone Cooperative, Inc.",6
"C544720294-CNIC,C516885659-CNIC,C544718114-CNIC,C540048199-CNIC,C18223105-CNIC,C529323494-CNIC","Land O Lakes, Inc",6
"C76567710-CNIC,C18226072-CNIC,C76567549-CNIC,C78891087-CNIC,C80713559-CNIC,C178722927-CNIC",Rushmore Electric Power Cooperative,6
"C271135518-CNIC,C271136023-CNIC,C379147710-CNIC,C379147760-CNIC,C493266569-CNIC,C493266619-CNIC",Sostre Civic SCCL,6
"C607735533-CNIC,C607735578-CNIC,C607735518-CNIC,C607735528-CNIC,C556367538-CNIC,C607735313-CNIC",Wiki.Coop,6
"C283899004-CNIC,C283898899-CNIC,C283898954-CNIC,C283898659-CNIC,C283898924-CNIC,C283898744-CNIC,C283898759-CNIC",American Legend Cooperative,7
"C647035184-CNIC,C18218449-CNIC,C655807084-CNIC,C637973733-CNIC,C678980123-CNIC,C601098098-CNIC,C625886643-CNIC",Community Broadband Network,7
"C110004761-CNIC,C110004873-CNIC,C110005017-CNIC,C110005182-CNIC,C110005978-CNIC,C110007903-CNIC,C110004648-CNIC",Equal Exchange,7
"C34510987-CNIC,C18211291-CNIC,C18211294-CNIC,C18215131-CNIC,C18215134-CNIC,C18215137-CNIC,C488304634-CNIC",FCNQ,7
"C173860133-CNIC,C621427488-CNIC,C621427538-CNIC,C674109573-CNIC,C674109763-CNIC,C674109948-CNIC,C674110178-CNIC",SODIAAL UNION,7
"C18230548-CNIC,C197155519-CNIC,C215912154-CNIC,C271594693-CNIC,C286163384-CNIC,C303365149-CNIC,C321672236-CNIC,C370697376-CNIC",Central England Co-operative Limited,8
"C379899255-CNIC,C257561367-CNIC,C646042019-CNIC,C379864195-CNIC,C257562242-CNIC,C668246703-CNIC,C347973716-CNIC,C575087718-CNIC",La Coop Avantis,8
"C283890419-CNIC,C283889999-CNIC,C283890374-CNIC,C283890379-CNIC,C283890384-CNIC,C283890054-CNIC,C283890064-CNIC,C283890279-CNIC",Mid Atlantic Corp FCU,8
"C283892054-CNIC,C283897729-CNIC,C283904049-CNIC,C283893439-CNIC,C283897299-CNIC,C283909194-CNIC,C283892504-CNIC,C283897309-CNIC","Multigrain International, LLC",8
"C432939951-CNIC,C329481501-CNIC,C187041989-CNIC,C449971756-CNIC,C466373161-CNIC,C474523274-CNIC,C484360574-CNIC,C490137439-CNIC",Node Societa Cooperativa,8
"C519236669-CNIC,C437528336-CNIC,C437528541-CNIC,C509634229-CNIC,C509634279-CNIC,C556918038-CNIC,C556918253-CNIC,C556918298-CNIC",Pierce Pepin Cooperative Services,8
"C162055558-CNIC,C263596541-CNIC,C314678141-CNIC,C507364584-CNIC,C606868033-CNIC,C610164428-CNIC,C610164458-CNIC,C610164508-CNIC,C610164568-CNIC",Manzanares & Partners,9
"C303093424-CNIC,C303093649-CNIC,C303093149-CNIC,C303093369-CNIC,C303093199-CNIC,C303093434-CNIC,C303093484-CNIC,C303093524-CNIC,C303093549-CNIC,C506803829-CNIC",CAPRICORN,10
"C18210496-CNIC,C18210508-CNIC,C18210520-CNIC,C18210544-CNIC,C18210556-CNIC,C18218056-CNIC,C18218068-CNIC,C18218080-CNIC,C18230068-CNIC,C282040479-CNIC",CO-OP Tohoku Sunnet Bussines Federation,10
"C148877298-CNIC,C148671728-CNIC,C148877348-CNIC,C148879563-CNIC,C148877618-CNIC,C148673643-CNIC,C148880498-CNIC,C148894428-CNIC,C148905073-CNIC,C148877498-CNIC",Midcounties Cooperative,10
"C659288829-CNIC,C659289084-CNIC,C659289349-CNIC,C659289549-CNIC,C659289769-CNIC,C659290029-CNIC,C659290269-CNIC,C659290449-CNIC,C659472934-CNIC,C659473189-CNIC",The Middle Tennessee Electric Membership Corporation,10
"C162543288-CNIC,C181311537-CNIC,C175574063-CNIC,C200180699-CNIC,C207703330-CNIC,C236045479-CNIC,C286864144-CNIC,C359867556-CNIC,C574277898-CNIC,C636939503-CNIC,C637370928-CNIC",The Midcounties Co-operative,11
"C19024678-CNIC,C18999463-CNIC,C19024599-CNIC,C19024638-CNIC,C19024645-CNIC,C19024664-CNIC,C19024625-CNIC,C18220312-CNIC,C19024617-CNIC,C19024574-CNIC,C18224254-CNIC,C19024160-CNIC,C19024592-CNIC,C108633092-CNIC",Coop Danmark A/S,14
"C36740080-CNIC,C36747299-CNIC,C36747158-CNIC,C36747455-CNIC,C36747404-CNIC,C28442729-CNIC,C28442748-CNIC,C36749026-CNIC,C36748555-CNIC,C36748418-CNIC,C36748522-CNIC,C36748732-CNIC,C69643444-CNIC,C97651736-CNIC,C97800938-CNIC,C221494324-CNIC",COOP DE FRANCE,16
"C175586193-CNIC,C175586183-CNIC,C175586228-CNIC,C175586338-CNIC,C175586143-CNIC,C175586163-CNIC,C175586443-CNIC,C175586278-CNIC,C175586288-CNIC,C175585683-CNIC,C251455367-CNIC,C175585888-CNIC,C175586328-CNIC,C175585398-CNIC,C175585838-CNIC,C175586373-CNIC,C368551751-CNIC,C569337888-CNIC",International Co-operative Alliance,18
"C273279063-CNIC,C273278923-CNIC,C273278868-CNIC,C273279178-CNIC,C273279168-CNIC,C628313503-CNIC,C272127498-CNIC,C273279103-CNIC,C273279133-CNIC,C273278988-CNIC,C273278963-CNIC,C273279078-CNIC,C273278908-CNIC,C622182703-CNIC,C273279088-CNIC,C270006473-CNIC,C273278853-CNIC,C272127493-CNIC,C272127488-CNIC",GIE BPCE IT,19
"C18210703-CNIC,C18218092-CNIC,C18218104-CNIC,C18218116-CNIC,C18218128-CNIC,C18218140-CNIC,C18218152-CNIC,C18218164-CNIC,C18218176-CNIC,C18218188-CNIC,C18218200-CNIC,C18218212-CNIC,C18218224-CNIC,C18218236-CNIC,C18218248-CNIC,C18219853-CNIC,C18219865-CNIC,C18222409-CNIC,C559247952-CNIC",Pal System Consumers Cooperative Union,19
"C283885149-CNIC,C283909399-CNIC,C283883939-CNIC,C283889824-CNIC,C283886709-CNIC,C283888054-CNIC,C283887609-CNIC,C283887299-CNIC,C283885499-CNIC,C283883239-CNIC,C283883254-CNIC,C283884174-CNIC,C283883734-CNIC,C283884274-CNIC,C283884299-CNIC,C283884459-CNIC,C283885129-CNIC,C283884439-CNIC,C283885494-CNIC,C283885939-CNIC,C283911014-CNIC",COOP ALLEANZA 3.0 SOC. COOP.,21
"C18211075-CNIC,C18211087-CNIC,C18211096-CNIC,C18211105-CNIC,C18211123-CNIC,C18211132-CNIC,C18211141-CNIC,C18211150-CNIC,C18211159-CNIC,C18222454-CNIC,C18222460-CNIC,C18222466-CNIC,C18222472-CNIC,C18222478-CNIC,C18222484-CNIC,C18222490-CNIC,C18222496-CNIC,C18222502-CNIC,C18229510-CNIC,C18232318-CNIC,C18232324-CNIC,C121308686-CNIC",Coop Genossenschaft,22
